Case#,Condition,Abnormality Type,Bubble Location,Failed Solenoid,Opening Ratio
178,Abnormal,Bubble Contamination,BP5,N/A,N/A
179,Abnormal,Solenoid Valve Fault,N/A,SV3,46.0
180,Normal,N/A,N/A,N/A,N/A
181,Normal,N/A,N/A,N/A,N/A
182,Normal,N/A,N/A,N/A,N/A
183,Normal,N/A,N/A,N/A,N/A
184,Abnormal,Solenoid Valve Fault,N/A,SV4,25.5
185,Normal,N/A,N/A,N/A,N/A
186,Abnormal,Bubble Contamination,BP7,N/A,N/A
187,Normal,N/A,N/A,N/A,N/A
188,Abnormal,Solenoid Valve Fault,N/A,SV3,34.5
189,Normal,N/A,N/A,N/A,N/A
190,Abnormal,Solenoid Valve Fault,N/A,SV3,50.75
191,Normal,N/A,N/A,N/A,N/A
192,Abnormal,Solenoid Valve Fault,N/A,SV4,29.0
193,Abnormal,Bubble Contamination,BP7,N/A,N/A
194,Normal,N/A,N/A,N/A,N/A
195,Normal,N/A,N/A,N/A,N/A
196,Abnormal,Bubble Contamination,BP5,N/A,N/A
197,Abnormal,Bubble Contamination,BP7,N/A,N/A
198,Normal,N/A,N/A,N/A,N/A
199,Normal,N/A,N/A,N/A,N/A
200,Abnormal,Solenoid Valve Fault,N/A,SV4,25.5
201,Normal,N/A,N/A,N/A,N/A
202,Abnormal,Solenoid Valve Fault,N/A,SV3,49.75
203,Normal,N/A,N/A,N/A,N/A
204,Abnormal,Bubble Contamination,BP5,N/A,N/A
205,Normal,N/A,N/A,N/A,N/A
206,Abnormal,Solenoid Valve Fault,N/A,SV3,52.0
207,Abnormal,Solenoid Valve Fault,N/A,SV4,29.0
208,Normal,N/A,N/A,N/A,N/A
209,Abnormal,Bubble Contamination,BP7,N/A,N/A
210,Normal,N/A,N/A,N/A,N/A
211,Normal,N/A,N/A,N/A,N/A
212,Normal,N/A,N/A,N/A,N/A
213,Normal,N/A,N/A,N/A,N/A
214,Abnormal,Solenoid Valve Fault,N/A,SV3,43.75
215,Normal,N/A,N/A,N/A,N/A
216,Abnormal,Bubble Contamination,BP7,N/A,N/A
217,Normal,N/A,N/A,N/A,N/A
218,Abnormal,Solenoid Valve Fault,N/A,SV4,27.25
219,Abnormal,Bubble Contamination,BP7,N/A,N/A
220,Normal,N/A,N/A,N/A,N/A
221,Abnormal,Bubble Contamination,BP5,N/A,N/A
222,Abnormal,Solenoid Valve Fault,N/A,SV4,29.0
223,Normal,N/A,N/A,N/A,N/A
